date,duration_min,efficiency
2025-05-26,,
2025-05-27,,
2025-05-28,,
2025-05-29,,
2025-05-30,,
2025-05-31,,
2025-06-01,,
2025-06-02,,
2025-06-03,,
2025-06-04,,
2025-06-05,,
2025-06-06,,
2025-06-07,,
2025-06-08,,
2025-06-09,,
2025-06-10,,
2025-06-11,,
2025-06-12,,
2025-06-13,535.0,93.0
2025-06-14,536.0,94.0
2025-06-15,553.0,93.0
2025-06-16,496.0,96.0
2025-06-17,473.0,97.0
2025-06-18,507.0,98.0
2025-06-19,551.0,94.0
2025-06-20,514.0,99.0
2025-06-21,547.0,97.0
2025-06-22,556.0,98.0
2025-06-23,541.0,95.0
2025-06-24,561.0,96.0
2025-06-25,539.0,96.0
